OBJECTID,Cell_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
41,x-99.8495864868164y31.0892543792725,41,90157,81141300.000000000000000,11,82,71,51.939405703384097,5.286087574450042,4682701.000000000000000,10,52,11,52
42,x-99.8495864868164y31.1714496612549,42,90159,81143100.000000000000000,11,90,79,53.308222140884439,10.273587443154931,4806216.000000000000000,12,52,71,52
43,x-99.8495864868164y31.3360500335693,43,90164,81147600.000000000000000,11,82,71,54.770462712390753,10.249462345704861,4938324.000000000000000,10,52,71,52
44,x-99.8495864868164y31.4184551239014,44,90156,81140400.000000000000000,11,82,71,56.930065663960249,12.550740913412723,5132587.000000000000000,10,52,24,52
45,x-99.8495864868164y31.5009326934814,45,90163,81146700.000000000000000,11,95,84,55.054645475416748,10.060337121209558,4963892.000000000000000,13,52,23,52
46,x-99.8495864868164y31.5834808349609,46,90163,81146700.000000000000000,11,95,84,55.725108969311137,11.913545427028163,5024343.000000000000000,10,52,43,52
47,x-99.8495864868164y31.6661014556885,47,90160,81144000.000000000000000,11,95,84,55.331898846495122,11.378179986344811,4988724.000000000000000,11,52,90,52
48,x-99.8495864868164y31.8315582275391,48,90165,81148500.000000000000000,11,82,71,57.567016026174237,12.689372621025939,5190530.000000000000000,11,52,41,52
49,x-99.8495864868164y31.9143962860107,49,90166,81149400.000000000000000,11,82,71,61.839795488321542,17.704347599908584,5575847.000000000000000,10,52,43,52
50,x-99.8495864868164y31.9973068237305,50,90153,81137700.000000000000000,11,95,84,60.669495191507771,14.827408897178573,5469537.000000000000000,14,52,31,52
51,x-99.8495864868164y32.0802917480469,51,90166,81149400.000000000000000,11,95,84,61.576913692522680,13.786545243583312,5552144.000000000000000,12,71,95,71
52,x-99.8495864868164y32.1633491516113,52,90162,81145800.000000000000000,11,90,79,56.332956234333757,14.323010459478015,5079092.000000000000000,13,52,24,52
53,x-99.7562255859375y32.0802917480469,53,90159,81143100.000000000000000,11,95,84,60.023447465033996,15.272067422137010,5411654.000000000000000,14,52,24,52
54,x-99.8495864868164y30.7611675262451,54,90158,81142200.000000000000000,21,52,31,51.737327802302623,2.589641353813310,4664534.000000000000000,5,52,22,52
55,x-99.8495864868164y31.2537136077881,55,90166,81149400.000000000000000,11,95,84,51.030022403123127,6.816068897464979,4601173.000000000000000,14,52,95,52
56,x-99.8495864868164y31.7487945556641,56,90156,81140400.000000000000000,11,95,84,54.174076045964775,9.528432685588593,4884118.000000000000000,10,52,95,52
57,x-99.8495864868164y32.2464828491211,57,90155,81139500.000000000000000,11,95,84,54.154223282125230,16.059930077888048,4882274.000000000000000,14,52,95,52
