"","Cell_ID","Pixel_Count"
"126","x-76.1358947753906y36.6819534301758",1
"127","x-76.1358947753906y36.7696304321289",1
"128","x-76.1358947753906y36.8574066162109",2
"129","x-76.1358947753906y36.9452819824219",2
"130","x-76.2292556762695y34.8626174926758",3
"131","x-76.2292556762695y34.9483413696289",3
"132","x-76.2292556762695y35.0341529846191",3
"133","x-76.2292556762695y35.292121887207",3
"134","x-76.2292556762695y35.378288269043",4
"135","x-76.2292556762695y35.4645500183105",3
"136","x-76.2292556762695y35.5508995056152",4
"137","x-76.2292556762695y35.6373405456543",4
"138","x-76.2292556762695y35.7238731384277",4
"139","x-76.2292556762695y35.8105010986328",3
"140","x-76.2292556762695y35.8972206115723",2
"141","x-76.2292556762695y35.9840316772461",2
"142","x-76.2292556762695y36.0709381103516",2
"143","x-76.2292556762695y36.1579399108887",2
"144","x-76.2292556762695y36.2450332641602",2
"145","x-76.2292556762695y36.3322257995605",1
"146","x-76.2292556762695y36.4195137023926",1
"147","x-76.2292556762695y36.5068969726562",1
"148","x-76.2292556762695y36.5943756103516",1
"149","x-76.2292556762695y36.6819534301758",1
"150","x-76.2292556762695y36.7696304321289",1
"151","x-76.2292556762695y36.8574066162109",2
"152","x-76.2292556762695y36.9452819824219",2
"153","x-76.2292556762695y37.1213302612305",1
"154","x-76.2292556762695y37.297779083252",1
"155","x-76.2292556762695y37.386157989502",1
"156","x-76.2292556762695y37.4746398925781",1
"157","x-76.2292556762695y37.8296012878418",1
"158","x-76.3226165771484y34.7769813537598",5
"159","x-76.3226165771484y34.8626174926758",5
"160","x-76.3226165771484y34.9483413696289",4
"161","x-76.3226165771484y35.0341529846191",4
"162","x-76.3226165771484y35.292121887207",4
"163","x-76.3226165771484y35.378288269043",3
"164","x-76.3226165771484y35.4645500183105",3
"165","x-76.3226165771484y35.5508995056152",4
"166","x-76.3226165771484y35.6373405456543",4
"167","x-76.3226165771484y35.7238731384277",4
"168","x-76.3226165771484y35.8105010986328",4
"169","x-76.3226165771484y35.8972206115723",2
"170","x-76.3226165771484y35.9840316772461",2
"171","x-76.3226165771484y36.0709381103516",2
"172","x-76.3226165771484y36.1579399108887",2
"173","x-76.3226165771484y36.2450332641602",1
"174","x-76.3226165771484y36.3322257995605",1
"175","x-76.3226165771484y36.4195137023926",1
"176","x-76.3226165771484y36.5068969726562",1
"177","x-76.3226165771484y36.5943756103516",1
"178","x-76.3226165771484y36.6819534301758",1
"179","x-76.3226165771484y36.7696304321289",1
"180","x-76.3226165771484y36.8574066162109",2
"181","x-76.3226165771484y36.9452819824219",2
"182","x-76.3226165771484y37.0332527160645",1
"183","x-76.3226165771484y37.1213302612305",1
"184","x-76.3226165771484y37.297779083252",1
"185","x-76.3226165771484y37.386157989502",1
"186","x-76.3226165771484y37.4746398925781",1
"187","x-76.3226165771484y37.5632247924805",1
"188","x-76.3226165771484y37.651912689209",1
"189","x-76.3226165771484y37.7407035827637",1
"190","x-76.4159774780273y34.6914329528809",5
"191","x-76.4159774780273y34.7769813537598",5
"192","x-76.4159774780273y34.8626174926758",5
"193","x-76.4159774780273y34.9483413696289",4
"194","x-76.4159774780273y35.0341529846191",4
"195","x-76.4159774780273y35.378288269043",3
"196","x-76.4159774780273y35.4645500183105",3
"197","x-76.4159774780273y35.5508995056152",4
"198","x-76.4159774780273y35.6373405456543",4
"199","x-76.4159774780273y35.7238731384277",4
"200","x-76.4159774780273y35.8105010986328",3
"201","x-76.4159774780273y35.8972206115723",2
"202","x-76.4159774780273y35.9840316772461",3
"203","x-76.4159774780273y36.0709381103516",3
"204","x-76.4159774780273y36.1579399108887",2
"205","x-76.4159774780273y36.2450332641602",1
"206","x-76.4159774780273y36.3322257995605",1
"207","x-76.4159774780273y36.4195137023926",1
"208","x-76.4159774780273y36.5068969726562",1
"209","x-76.4159774780273y36.6819534301758",1
"210","x-76.4159774780273y36.7696304321289",1
